ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
3.313342671649024851e+01,0.000000000000000000e+00,3.628954450452157943e+01
