accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.097745447324462553e+00,1.081392736769200447e+00,-8.697797788886065362e+00
1.075881145935047911e+00,1.096333469449645159e+00,-8.704358339087709950e+00
1.102129304498129736e+00,1.090767841885897038e+00,-8.684797782398003818e+00
1.093662712007048787e+00,1.091038502201419957e+00,-8.708190472776633939e+00
1.098617746774596560e+00,1.099463462259014923e+00,-8.688621337824827151e+00
1.098067558837518609e+00,1.089783724952817945e+00,-8.701987479739486275e+00
1.090201748089624667e+00,1.100958285300261963e+00,-8.700988215590653496e+00
1.105038893761283836e+00,1.096821041869865843e+00,-8.678747189107129500e+00
1.082083267425955286e+00,1.075905156713150790e+00,-8.691963928756797131e+00
1.084482014070185851e+00,1.091017104669769422e+00,-8.700125250865479387e+00
1.085985471033902083e+00,1.097597865252101679e+00,-8.693596778622273646e+00
1.087402015660414945e+00,1.112642869436173410e+00,-8.695982284021408049e+00
1.095843002901272234e+00,1.096458210292269531e+00,-8.682777834521496985e+00
1.092677955240666465e+00,1.112977742880249421e+00,-8.687459690241036370e+00
1.095293175940554198e+00,1.103135109624297172e+00,-8.687907930755411456e+00
1.102121975606508819e+00,1.117658350291396818e+00,-8.697485383618440480e+00
1.101803560076067612e+00,1.091441493038167954e+00,-8.693389358221937258e+00
1.106659968611943157e+00,1.110833248168801690e+00,-8.692211998545158025e+00
1.094915132369897126e+00,1.087283960836738173e+00,-8.698261166598175720e+00
1.083396113583476206e+00,1.099723365627079286e+00,-8.694558381099689370e+00
1.090539391312949302e+00,1.102393711360593720e+00,-8.698727375242338411e+00
1.092216503234529235e+00,1.101377345846320965e+00,-8.691569334862110807e+00
1.113078173991078224e+00,1.097399056436320741e+00,-8.711003144892959682e+00
1.094264625696827364e+00,1.098168667040187563e+00,-8.679868825490473228e+00
1.088323469366054397e+00,1.102458841724293981e+00,-8.693014997590257309e+00
1.086263045908411051e+00,1.104579473476786200e+00,-8.710904043306697986e+00
1.117135369865371208e+00,1.095415307686723905e+00,-8.700196742181216081e+00
1.092414497676718277e+00,1.100488800710351489e+00,-8.678785875614988043e+00
1.103828815649708694e+00,1.094787562197658604e+00,-8.698174263934239647e+00
1.097150749184596430e+00,1.103396961047368841e+00,-8.699762203527773963e+00
1.096878462690549449e+00,1.100361361786690084e+00,-8.706699443662030191e+00
1.101501785667015509e+00,1.098216865345685855e+00,-8.700003980629571032e+00
1.108933882831184548e+00,1.104698339781849947e+00,-8.686639787172502736e+00
1.093943198384197402e+00,1.119865092737217127e+00,-8.702567242682325954e+00
1.093348831490867923e+00,1.098609794358504033e+00,-8.707396771961125381e+00
1.087930650989201053e+00,1.106480688635541609e+00,-8.695376735338047780e+00
1.102910578770874617e+00,1.106542520274427899e+00,-8.696145027533152216e+00
1.103421845449122696e+00,1.099021759853545444e+00,-8.686398248444756831e+00
1.097580768803026352e+00,1.093998261162032026e+00,-8.673806084158371732e+00
1.104399772277310898e+00,1.091957705433526549e+00,-8.695394036100463353e+00
1.096384783366731064e+00,1.099136700251740262e+00,-8.692904500172501159e+00
1.089468025044400212e+00,1.106660898032995055e+00,-8.678075908039385666e+00
1.102988348841222654e+00,1.108031504186203442e+00,-8.698001849542402297e+00
1.096918426036581184e+00,1.098621516709566537e+00,-8.700046701745289823e+00
1.109376226283039113e+00,1.109852750716643799e+00,-8.689044397305796252e+00
1.104556611336196870e+00,1.103093009626102017e+00,-8.699729144803859171e+00
1.091589053189006675e+00,1.113580674231319456e+00,-8.711961767584970318e+00
1.110922556398415306e+00,1.097343269187331272e+00,-8.707229207326776077e+00
1.100587365706921616e+00,1.115968867612264326e+00,-8.685881978102029777e+00
1.103586608220605392e+00,1.096125001540866117e+00,-8.705891840820184413e+00
1.100253197031512364e+00,1.093478693230605758e+00,-8.693187667930796891e+00
1.106229717531050927e+00,1.085741313882438108e+00,-8.693445876176690845e+00
1.099870426622045372e+00,1.084223068443712412e+00,-8.701929390716573565e+00
1.093020430840696333e+00,1.101098409040685899e+00,-8.691249050184456593e+00
1.101379678441328780e+00,1.105953544704723068e+00,-8.693643368961668116e+00
1.110042350074819106e+00,1.105446509950557932e+00,-8.688554330731607322e+00
1.096674502976211274e+00,1.099410838404244695e+00,-8.693019721290372814e+00
1.108729745941904543e+00,1.099767843946314105e+00,-8.689593644814962659e+00
1.105926650936831734e+00,1.093960114623833579e+00,-8.706524483453744523e+00
1.101406728313930383e+00,1.088971661554539061e+00,-8.692067733194001278e+00
1.090298527213463986e+00,1.094332901147667680e+00,-8.687643345749799906e+00
1.111041422009044100e+00,1.095994042225484133e+00,-8.701116654556383168e+00
